algorithm,target_update_interval,seed,training_step,q_upper,Mean_Q,Mean_Excess,Mean_Violtaing_Excess,Mean_Over_Violation_Rate,Mean_Under_Violtaion_Rate
DDQN,50,12,19000,100,857.65784,828.7705,897.4061,0.9235177865612648,0.10507905138339921
DDQN,50,12,20000,100,961.26294,936.8444,1005.5433,0.9316798418972332,0.09938735177865612
DDQN,50,12,21000,100,1073.694,1053.047,1125.112,0.9359486166007905,0.09570158102766799
DDQN,50,12,22000,100,1188.8501,1171.4313,1246.2297,0.9399802371541502,0.09224308300395256
DDQN,50,12,23000,100,1305.3007,1291.8807,1365.0857,0.9463735177865613,0.08622529644268774
DDQN,50,12,24000,100,1428.8599,1419.7083,1496.7496,0.9485276679841897,0.08353754940711462
DDQN,50,12,25000,100,1554.066,1548.3143,1611.8817,0.9605632411067193,0.07277667984189723
DDQN,50,12,26000,100,1681.3707,1678.5194,1723.3221,0.974001976284585,0.058804347826086956
DDQN,50,12,27000,100,1779.3483,1783.44,1821.5999,0.9790513833992095,0.05485177865612648
DDQN,50,12,28000,100,1874.3723,1883.4465,1920.277,0.9808201581027668,0.053636363636363635
DDQN,50,12,29000,100,1975.694,1990.2217,2021.5233,0.9845158102766799,0.048784584980237154
DDQN,50,12,30000,100,2061.132,2079.339,2103.3867,0.9885671936758893,0.04187747035573122
DDQN,50,12,31000,100,2150.4692,2174.3398,2192.2112,0.9918478260869565,0.036521739130434785
DDQN,50,12,32000,100,2239.0137,2266.591,2282.8555,0.9928754940711463,0.03381422924901186
DDQN,50,12,33000,100,2261.4248,2291.977,2316.1687,0.9895553359683794,0.04069169960474308
DDQN,50,12,34000,100,2279.611,2312.776,2335.6711,0.990197628458498,0.03925889328063241
DDQN,50,12,35000,100,2265.3435,2303.364,2328.3037,0.9892885375494072,0.043270750988142294
DDQN,50,12,36000,100,2230.4216,2270.4426,2300.4717,0.9869466403162055,0.04842885375494071
DDQN,50,12,37000,100,2166.5776,2209.8557,2246.2576,0.983794466403162,0.05541501976284585
DDQN,50,12,38000,100,2108.2808,2153.68,2198.985,0.979397233201581,0.062460474308300394
DDQN,50,12,39000,100,2034.8109,2081.9421,2136.2346,0.9745849802371541,0.06983201581027668
DDQN,50,12,40000,100,1931.3606,1979.2395,2050.1438,0.9654150197628458,0.08284584980237154
DDQN,50,12,41000,100,1817.8018,1866.897,1959.7933,0.952598814229249,0.09872529644268775
DDQN,50,12,42000,100,1710.8391,1761.1217,1874.815,0.9393577075098815,0.11446640316205534
DDQN,50,12,43000,100,1589.9701,1641.1276,1772.2423,0.9260177865612649,0.1318280632411067
DDQN,50,12,44000,100,1455.1506,1504.1654,1657.1938,0.9076581027667984,0.1499901185770751
DDQN,50,12,45000,100,1351.4635,1394.737,1556.5957,0.8960177865612649,0.16189723320158103
DDQN,50,12,46000,100,1206.6857,1246.4683,1427.6791,0.8730731225296443,0.18225296442687747
DDQN,50,12,47000,100,1074.179,1106.7048,1298.3229,0.8524110671936759,0.2008794466403162
DDQN,50,12,48000,100,951.87445,976.46686,1171.3898,0.833596837944664,0.22041501976284586
DDQN,50,12,49000,100,831.0862,846.30817,1040.9012,0.8130533596837944,0.2399209486166008
DDQN,50,12,50000,100,734.58685,740.4025,922.2907,0.8027865612648222,0.25215415019762843
DDQN,50,12,51000,100,642.5214,636.9644,799.861,0.7963438735177866,0.25396245059288536
DDQN,50,12,52000,100,571.62085,553.91876,690.95605,0.8016699604743083,0.23963438735177867
DDQN,50,12,53000,100,524.9312,495.26538,610.0916,0.8117885375494072,0.21775691699604743
DDQN,50,12,54000,100,493.85822,456.02637,558.9858,0.8158102766798419,0.19901185770750987
DDQN,50,12,55000,100,468.76294,422.4314,511.79285,0.825395256916996,0.1709683794466403
DDQN,50,12,56000,100,453.5392,399.4632,469.03525,0.8516699604743083,0.1423913043478261
DDQN,50,12,57000,100,427.75723,369.97604,426.3251,0.8678260869565217,0.1273122529644269
DDQN,50,12,58000,100,396.84378,335.329,384.19202,0.8728162055335968,0.11632411067193676
DDQN,50,12,59000,100,360.0209,296.49567,338.8216,0.8750790513833993,0.10880434782608696
DDQN,50,12,60000,100,324.24484,259.90945,296.63736,0.8761857707509881,0.10614624505928853
DDQN,50,12,61000,100,293.06345,227.68933,260.1077,0.8753656126482213,0.10345849802371541
DDQN,50,12,62000,100,266.8434,199.11055,225.96259,0.8811660079051383,0.09643280632411068
DDQN,50,12,63000,100,248.81247,178.55428,201.87344,0.8844861660079051,0.08182806324110672
DDQN,50,12,64000,100,238.62453,164.9277,184.02483,0.8962252964426878,0.06396245059288537
DDQN,50,12,65000,100,229.92735,155.78462,174.52734,0.8926086956521739,0.06053359683794467
DDQN,50,12,66000,100,224.59067,149.60841,168.5391,0.8876778656126483,0.05809288537549407
DDQN,50,12,67000,100,216.21725,140.62372,160.75821,0.8747529644268774,0.05635375494071146
DDQN,50,12,68000,100,208.23973,132.66342,154.08275,0.8609881422924901,0.06025691699604743
DDQN,50,12,69000,100,200.12347,124.78553,147.9607,0.8433695652173913,0.06528656126482213
DDQN,50,12,70000,100,200.60265,123.27076,145.58972,0.846699604743083,0.06197628458498024
DDQN,50,12,71000,100,202.15515,124.473915,148.17451,0.8400494071146245,0.07105731225296442
DDQN,50,12,72000,100,199.53407,120.70868,146.59448,0.8234189723320158,0.08042490118577075
DDQN,50,12,73000,100,187.75146,108.749405,138.28362,0.7864229249011858,0.07545454545454545
DDQN,50,12,74000,100,178.10223,96.85963,127.344246,0.7606126482213439,0.043932806324110674
DDQN,50,12,75000,100,169.36316,85.54455,115.27594,0.7420849802371542,0.029841897233201582
DDQN,50,12,76000,100,159.71574,73.71649,97.62625,0.7550889328063242,0.023310276679841896
DDQN,50,12,77000,100,154.13155,67.90013,87.20612,0.7786166007905139,0.024634387351778655
DDQN,50,12,78000,100,152.16142,67.87342,88.333206,0.7683794466403162,0.04154150197628458
DDQN,50,12,79000,100,147.30746,61.37739,79.61383,0.7709387351778656,0.029130434782608697
DDQN,50,12,80000,100,139.13118,53.178646,70.45834,0.7547529644268774,0.026422924901185772
DDQN,50,12,81000,100,131.7057,47.062973,63.706657,0.7387450592885375,0.032025691699604744
DDQN,50,12,82000,100,127.19061,43.803932,61.133286,0.7165316205533597,0.03357707509881423
DDQN,50,12,83000,100,121.49753,39.15505,56.449757,0.6936264822134387,0.035197628458498026
DDQN,50,12,84000,100,120.12838,37.872353,55.412807,0.6834584980237154,0.028448616600790514
DDQN,50,12,85000,100,119.72948,37.690777,55.71096,0.6765415019762846,0.024456521739130436
DDQN,50,12,86000,100,118.386284,36.787247,55.147903,0.6670652173913043,0.021472332015810277
DDQN,50,12,87000,100,120.87506,37.966423,56.804535,0.6683695652173913,0.01475296442687747
DDQN,50,12,88000,100,121.81202,37.730465,56.22043,0.6711166007905138,0.009703557312252965
DDQN,50,12,89000,100,124.41808,38.42254,55.7743,0.6888932806324111,0.0069071146245059285
DDQN,50,12,90000,100,126.46576,38.77969,54.989693,0.7052173913043478,0.005859683794466403
